Name,Price,Set,Rarity
"Tabletop
 316","DECLINING CARDS
37▼","PRICE CHANGE
-1.48","RISING CARDS
13▲"
Jace the Mind Sculptor,69.02,WWK,Mythic
Stoneforge Mystic,48.97,WWK,Rare
Amulet of Vigor,22.17,WWK,Rare
Eye of Ugin,12.10,WWK,Mythic
Quest for Ulas Temple,11.99,WWK,Rare
Wrexial the Risen Deep,10.99,WWK,Mythic
Deaths Shadow,8.39,WWK,Rare
Avenger of Zendikar,7.97,WWK,Mythic
Thada Adel Acquisitor,7.83,WWK,Rare
Omnath Locus of Mana,7.69,WWK,Mythic
Kazuul Tyrant of the Cliffs,7.44,WWK,Rare
Joraga Warcaller,7.17,WWK,Rare
Kalastria Highborn,6.50,WWK,Rare
Quest for Renewal,4.75,WWK,Uncommon
Celestial Colonnade,4.23,WWK,Rare
Creeping Tar Pit,3.89,WWK,Rare
Quest for the Nihil Stone,3.52,WWK,Rare
Bazaar Trader,3.32,WWK,Rare
Basilisk Collar,3.17,WWK,Rare
Novablast Wurm,2.77,WWK,Mythic
Raging Ravine,2.48,WWK,Rare
Anowon the Ruin Sage,2.26,WWK,Rare
Dragonmaster Outcast,2.22,WWK,Mythic
Harabaz Druid,2.16,WWK,Rare
Searing Blaze,1.75,WWK,Common
Terra Eternal,1.75,WWK,Rare
Admonition Angel,1.60,WWK,Mythic
Bojuka Bog,1.50,WWK,Common
Lavaclaw Reaches,1.41,WWK,Rare
Walking Atlas,1.29,WWK,Common
Natures Claim,1.25,WWK,Common
Abyssal Persecutor,1.21,WWK,Mythic
Lodestone Golem,1.15,WWK,Rare
Everflowing Chalice,1.09,WWK,Uncommon
Butcher of Malakir,1.08,WWK,Rare
Perimeter Captain,1.08,WWK,Uncommon
Tectonic Edge,1.04,WWK,Uncommon
Quest for the Goblin Lord,1.00,WWK,Uncommon
Jwari Shapeshifter,0.99,WWK,Rare
Canopy Cover,0.97,WWK,Uncommon
Comet Storm,0.95,WWK,Mythic
Chain Reaction,0.78,WWK,Rare
Stirring Wildwood,0.76,WWK,Rare
Talus Paladin,0.75,WWK,Rare
Arbor Elf,0.66,WWK,Common
Terastodon,0.63,WWK,Rare
Selective Memory,0.62,WWK,Rare
Groundswell,0.52,WWK,Common
Mordant Dragon,0.52,WWK,Rare
Agadeem Occultist,0.50,WWK,Rare
Kor Firewalker,0.50,WWK,Uncommon
Strength of the Tajuru,0.50,WWK,Rare
Wolfbriar Elemental,0.50,WWK,Rare
Marshals Anthem,0.49,WWK,Rare
Ruin Ghost,0.49,WWK,Uncommon
Halimar Depths,0.47,WWK,Common
Ricochet Trap,0.47,WWK,Uncommon
Hada Freeblade,0.44,WWK,Uncommon
Loam Lion,0.44,WWK,Uncommon
Leatherback Baloth,0.42,WWK,Uncommon
Seers Sundial,0.40,WWK,Rare
Archon of Redemption,0.39,WWK,Rare
Dispel,0.39,WWK,Common
Scrib Nibblers,0.39,WWK,Uncommon
Goliath Sphinx,0.38,WWK,Rare
Pulse Tracker,0.35,WWK,Common
Stone Idol Trap,0.35,WWK,Rare
Tideforce Elemental,0.34,WWK,Uncommon
Explore,0.33,WWK,Common
Tuktuk Scrapper,0.33,WWK,Uncommon
Khalni Garden,0.30,WWK,Common
Lightkeeper of Emeria,0.30,WWK,Uncommon
Treasure Hunt,0.30,WWK,Common
Urge to Feed,0.30,WWK,Uncommon
Bloodhusk Ritualist,0.29,WWK,Uncommon
Dread Statuary,0.29,WWK,Uncommon
Cunning Sparkmage,0.27,WWK,Uncommon
Rest for the Weary,0.26,WWK,Common
Bestial Menace,0.25,WWK,Uncommon
Caustic Crawler,0.25,WWK,Uncommon
Deathforge Shaman,0.25,WWK,Uncommon
Hammer of Ruin,0.25,WWK,Uncommon
Horizon Drake,0.25,WWK,Uncommon
Nemesis Trap,0.25,WWK,Uncommon
Permafrost Trap,0.25,WWK,Uncommon
Quicksand,0.25,WWK,Common
Razor Boomerang,0.25,WWK,Uncommon
Refraction Trap,0.25,WWK,Uncommon
Roiling Terrain,0.25,WWK,Common
Rumbling Aftershocks,0.25,WWK,Uncommon
Sejiri Merfolk,0.25,WWK,Uncommon
Sejiri Steppe,0.25,WWK,Common
Slavering Nulls,0.25,WWK,Uncommon
Slingbow Trap,0.25,WWK,Uncommon
Smoldering Spires,0.25,WWK,Common
Smother,0.25,WWK,Uncommon
Spell Contortion,0.25,WWK,Uncommon
Summit Apes,0.25,WWK,Uncommon
Vapor Snare,0.25,WWK,Uncommon
Vastwood Animist,0.25,WWK,Uncommon
Voyager Drake,0.25,WWK,Uncommon
Akoum Battlesinger,0.24,WWK,Common
Claws of Valakut,0.24,WWK,Common
Grotag Thrasher,0.24,WWK,Common
Halimar Excavator,0.24,WWK,Common
Shoreline Salvager,0.24,WWK,Uncommon
Twitch,0.24,WWK,Common
Wind Zendikon,0.24,WWK,Common
Corrupted Zendikon,0.23,WWK,Common
Cosis Ravager,0.23,WWK,Common
Guardian Zendikon,0.23,WWK,Common
Join the Ranks,0.23,WWK,Common
Kitesail Apprentice,0.23,WWK,Common
Mires Toll,0.23,WWK,Common
Quag Vampires,0.23,WWK,Common
Apex Hawks,0.22,WWK,Common
Calcite Snapper,0.22,WWK,Common
Gnarlid Pack,0.22,WWK,Common
Grappler Spider,0.22,WWK,Common
Hedron Rover,0.22,WWK,Common
Kitesail,0.22,WWK,Common
Skitter of Lizards,0.22,WWK,Common
Vastwood Zendikon,0.22,WWK,Common
Veterans Reflexes,0.22,WWK,Common
Dead Reckoning,0.21,WWK,Common
Fledgling Griffin,0.21,WWK,Common
Snapping Creeper,0.21,WWK,Common
Aether Tradewinds,0.20,WWK,Common
Battle Hurda,0.20,WWK,Common
Bojuka Brigand,0.20,WWK,Common
Brink of Disaster,0.20,WWK,Common
Bull Rush,0.20,WWK,Common
Crusher Zendikon,0.20,WWK,Common
Enclave Elite,0.20,WWK,Common
Feral Contest,0.20,WWK,Common
Goblin Roughrider,0.20,WWK,Common
Graypelt Hunter,0.20,WWK,Common
Ionas Judgment,0.20,WWK,Common
Jagwasp Swarm,0.20,WWK,Common
Marsh Threader,0.20,WWK,Common
Pilgrims Eye,0.20,WWK,Common
Ruthless Cullblade,0.20,WWK,Common
Surrakar Banisher,0.20,WWK,Common
Tomb Hex,0.20,WWK,Common
Mysteries of the Deep,0.19,WWK,Common
Jace the Mind Sculptor,5.94,WWK,Mythic
Amulet of Vigor,2.68,WWK,Rare
Stoneforge Mystic,2.17,WWK,Rare
Searing Blaze,2.16,WWK,Common
Deaths Shadow,1.52,WWK,Rare
Avenger of Zendikar,0.87,WWK,Mythic
Bojuka Bog,0.76,WWK,Common
Khalni Garden,0.30,WWK,Common
Celestial Colonnade,0.29,WWK,Rare
Creeping Tar Pit,0.22,WWK,Rare
Omnath Locus of Mana,0.16,WWK,Mythic
Natures Claim,0.15,WWK,Common
Eye of Ugin,0.14,WWK,Mythic
Basilisk Collar,0.08,WWK,Rare
Hammer of Ruin,0.04,WWK,Uncommon
Hedron Rover,0.04,WWK,Common
Nemesis Trap,0.04,WWK,Uncommon
Refraction Trap,0.04,WWK,Uncommon
Slingbow Trap,0.04,WWK,Uncommon
Snapping Creeper,0.04,WWK,Common
Vastwood Animist,0.04,WWK,Uncommon
Aether Tradewinds,0.03,WWK,Common
Battle Hurda,0.03,WWK,Common
Bestial Menace,0.03,WWK,Uncommon
Bull Rush,0.03,WWK,Common
Cosis Ravager,0.03,WWK,Common
Dead Reckoning,0.03,WWK,Common
Dispel,0.03,WWK,Common
Dread Statuary,0.03,WWK,Uncommon
Enclave Elite,0.03,WWK,Common
Explore,0.03,WWK,Common
Feral Contest,0.03,WWK,Common
Fledgling Griffin,0.03,WWK,Common
Goblin Roughrider,0.03,WWK,Common
Graypelt Hunter,0.03,WWK,Common
Grotag Thrasher,0.03,WWK,Common
Horizon Drake,0.03,WWK,Uncommon
Ionas Judgment,0.03,WWK,Common
Jagwasp Swarm,0.03,WWK,Common
Leatherback Baloth,0.03,WWK,Uncommon
Lightkeeper of Emeria,0.03,WWK,Uncommon
Marsh Threader,0.03,WWK,Common
Mires Toll,0.03,WWK,Common
Mysteries of the Deep,0.03,WWK,Common
Permafrost Trap,0.03,WWK,Uncommon
Razor Boomerang,0.03,WWK,Uncommon
Ricochet Trap,0.03,WWK,Uncommon
Ruin Ghost,0.03,WWK,Uncommon
Rumbling Aftershocks,0.03,WWK,Uncommon
Ruthless Cullblade,0.03,WWK,Common
Sejiri Merfolk,0.03,WWK,Uncommon
Shoreline Salvager,0.03,WWK,Uncommon
Skitter of Lizards,0.03,WWK,Common
Slavering Nulls,0.03,WWK,Uncommon
Spell Contortion,0.03,WWK,Uncommon
Summit Apes,0.03,WWK,Uncommon
Surrakar Banisher,0.03,WWK,Common
Tomb Hex,0.03,WWK,Common
Twitch,0.03,WWK,Common
Vapor Snare,0.03,WWK,Uncommon
Voyager Drake,0.03,WWK,Uncommon
Abyssal Persecutor,0.02,WWK,Mythic
Admonition Angel,0.02,WWK,Mythic
Akoum Battlesinger,0.02,WWK,Common
Apex Hawks,0.02,WWK,Common
Arbor Elf,0.02,WWK,Common
Bloodhusk Ritualist,0.02,WWK,Uncommon
Bojuka Brigand,0.02,WWK,Common
