Name,Price,Set,Rarity
"Tabletop
 318","DECLINING CARDS
61▼","PRICE CHANGE
-0.52","RISING CARDS
18▲"
Serra Ascendant,25.48,M11,Rare
Fauna Shaman,13.91,M11,Rare
Captivating Vampire,12.62,M11,Rare
Birds of Paradise,12.60,M11,Rare
Grave Titan,11.75,M11,Mythic
Demon of Deaths Gate,9.99,M11,Mythic
Liliana Vess,9.70,M11,Mythic
Platinum Angel,9.50,M11,Mythic
Knight Exemplar,9.48,M11,Rare
Leyline of Anticipation,8.51,M11,Rare
Leyline of the Void,7.93,M11,Rare
Drowned Catacomb,7.44,M11,Rare
Primeval Titan,7.23,M11,Mythic
Garruk Wildspeaker,6.60,M11,Mythic
Leyline of Sanctity,6.00,M11,Rare
Ajani Goldmane,5.75,M11,Mythic
Silence,5.49,M11,Rare
Lilianas Caress,5.34,M11,Uncommon
Glacial Fortress,4.60,M11,Rare
Sunpetal Grove,4.53,M11,Rare
Dragonskull Summit,4.48,M11,Rare
Protean Hydra,4.43,M11,Rare
Rootbound Crag,4.20,M11,Rare
Overwhelming Stampede,3.92,M11,Rare
Reverberate,3.80,M11,Rare
Leyline of Vitality,3.79,M11,Rare
Time Reversal,3.57,M11,Mythic
Baneslayer Angel,3.42,M11,Mythic
Jace Beleren,3.42,M11,Mythic
Pyretic Ritual,3.42,M11,Common
Traumatize,3.38,M11,Rare
Mitotic Slime,3.32,M11,Rare
Goblin Chieftain,3.27,M11,Rare
Whispersilk Cloak,3.24,M11,Uncommon
Leyline of Punishment,2.85,M11,Rare
Temple Bell,2.75,M11,Rare
Day of Judgment,2.57,M11,Rare
Lightning Bolt,2.30,M11,Common
Relentless Rats,2.28,M11,Uncommon
Steel Overseer,1.97,M11,Rare
Sun Titan,1.88,M11,Mythic
Inferno Titan,1.78,M11,Mythic
Honor of the Pure,1.72,M11,Rare
Elvish Archdruid,1.55,M11,Rare
Chandra Nalaar,1.50,M11,Mythic
Voltaic Key,1.50,M11,Uncommon
Angelic Arbiter,1.34,M11,Rare
Triskelion,1.26,M11,Rare
Mystifying Maze,1.24,M11,Rare
Preordain,1.00,M11,Common
Diabolic Tutor,0.98,M11,Uncommon
Royal Assassin,0.95,M11,Rare
Frost Titan,0.94,M11,Mythic
Autumns Veil,0.93,M11,Uncommon
Sword of Vengeance,0.92,M11,Rare
Dark Tutelage,0.86,M11,Rare
Obstinate Baloth,0.77,M11,Rare
Elixir of Immortality,0.75,M11,Uncommon
Cultivate,0.70,M11,Common
Merfolk Sovereign,0.70,M11,Rare
Gaeas Revenge,0.65,M11,Mythic
Wild Evocation,0.56,M11,Rare
Jinxed Idol,0.55,M11,Rare
Stormtide Leviathan,0.55,M11,Rare
Mass Polymorph,0.53,M11,Rare
Viscera Seer,0.51,M11,Common
Brittle Effigy,0.49,M11,Rare
Clone,0.49,M11,Rare
Fire Servant,0.49,M11,Uncommon
Redirect,0.49,M11,Rare
Destructive Force,0.48,M11,Rare
Crystal Ball,0.47,M11,Uncommon
Nantuko Shade,0.47,M11,Rare
Ornithopter,0.47,M11,Uncommon
Phylactery Lich,0.47,M11,Rare
Hoarding Dragon,0.43,M11,Rare
Ancient Hellkite,0.42,M11,Rare
Haunting Echoes,0.40,M11,Rare
Vengeful Archon,0.40,M11,Rare
Ajanis Pridemate,0.39,M11,Uncommon
Conundrum Sphinx,0.39,M11,Rare
Magma Phoenix,0.39,M11,Rare
Necrotic Plague,0.38,M11,Rare
Cyclops Gladiator,0.36,M11,Rare
Armored Ascension,0.35,M11,Uncommon
Sign in Blood,0.34,M11,Common
Back to Nature,0.33,M11,Uncommon
Dragons Claw,0.33,M11,Uncommon
Reassembling Skeleton,0.33,M11,Uncommon
Ajanis Mantra,0.32,M11,Common
Llanowar Elves,0.32,M11,Common
Mana Leak,0.32,M11,Common
Terramorphic Expanse,0.32,M11,Common
Pyroclasm,0.31,M11,Uncommon
Wall of Frost,0.31,M11,Uncommon
Squadron Hawk,0.30,M11,Common
Condemn,0.29,M11,Uncommon
Acidic Slime,0.28,M11,Uncommon
Call to Mind,0.28,M11,Uncommon
Augury Owl,0.27,M11,Common
Garruks Packleader,0.27,M11,Uncommon
Jaces Erasure,0.27,M11,Common
Lilianas Specter,0.27,M11,Common
Aether Adept,0.25,M11,Common
Angels Feather,0.25,M11,Uncommon
Black Knight,0.25,M11,Uncommon
Blood Tithe,0.25,M11,Common
Celestial Purge,0.25,M11,Uncommon
Chandras Spitfire,0.25,M11,Uncommon
Combust,0.25,M11,Uncommon
Corrupt,0.25,M11,Uncommon
Demons Horn,0.25,M11,Uncommon
Doom Blade,0.25,M11,Common
Ember Hauler,0.25,M11,Uncommon
Fireball,0.25,M11,Uncommon
Flashfreeze,0.25,M11,Uncommon
Gargoyle Sentinel,0.25,M11,Uncommon
Mind Control,0.25,M11,Uncommon
Negate,0.25,M11,Common
Prized Unicorn,0.25,M11,Uncommon
Prodigal Pyromancer,0.25,M11,Uncommon
Rise from the Grave,0.25,M11,Uncommon
Serra Angel,0.25,M11,Uncommon
Shivs Embrace,0.25,M11,Uncommon
Sleep,0.25,M11,Uncommon
Sorcerers Strongbox,0.25,M11,Uncommon
Sylvan Ranger,0.25,M11,Common
Tome Scour,0.25,M11,Common
War Priest of Thune,0.25,M11,Uncommon
White Knight,0.25,M11,Uncommon
Wurms Tooth,0.25,M11,Uncommon
Alluring Siren,0.24,M11,Uncommon
Awakener Druid,0.24,M11,Uncommon
Cudgel Troll,0.24,M11,Uncommon
Deathmark,0.24,M11,Uncommon
Duress,0.24,M11,Common
Duskdale Wurm,0.24,M11,Uncommon
Elite Vanguard,0.24,M11,Uncommon
Fog,0.24,M11,Common
Howling Banshee,0.24,M11,Uncommon
Jaces Ingenuity,0.24,M11,Uncommon
Krakens Eye,0.24,M11,Uncommon
Natures Spiral,0.24,M11,Uncommon
Roc Egg,0.24,M11,Uncommon
Warlords Axe,0.24,M11,Uncommon
Air Servant,0.23,M11,Uncommon
Bloodthrone Vampire,0.23,M11,Common
Dryads Favor,0.23,M11,Common
Foresee,0.23,M11,Common
Goldenglow Moth,0.23,M11,Common
Juggernaut,0.23,M11,Uncommon
Primal Cocoon,0.23,M11,Common
Sacred Wolf,0.23,M11,Common
Scroll Thief,0.23,M11,Common
Stone Golem,0.23,M11,Uncommon
Water Servant,0.23,M11,Uncommon
Arc Runner,0.22,M11,Common
Earth Servant,0.22,M11,Uncommon
Garruks Companion,0.22,M11,Common
Manic Vandal,0.22,M11,Common
Runeclaw Bear,0.22,M11,Common
Stormfront Pegasus,0.22,M11,Common
Brindle Boar,0.21,M11,Common
Diminish,0.21,M11,Common
Giant Growth,0.21,M11,Common
Goblin Piker,0.21,M11,Common
Naturalize,0.21,M11,Common
Solemn Offering,0.21,M11,Common
Act of Treason,0.20,M11,Common
Azure Drake,0.20,M11,Common
Bloodcrazed Goblin,0.20,M11,Common
Bog Raiders,0.20,M11,Common
Cancel,0.20,M11,Common
Canyon Minotaur,0.20,M11,Common
Cloud Crusader,0.20,M11,Common
Disentomb,0.20,M11,Common
Fling,0.20,M11,Common
Goblin Balloon Brigade,0.20,M11,Common
Gravedigger,0.20,M11,Common
Greater Basilisk,0.20,M11,Common
Holy Strength,0.20,M11,Common
Hornet Sting,0.20,M11,Common
Ice Cage,0.20,M11,Common
Maritime Guard,0.20,M11,Common
Merfolk Spy,0.20,M11,Common
Pacifism,0.20,M11,Common
Palace Guard,0.20,M11,Common
Phantom Beast,0.20,M11,Common
Plummet,0.20,M11,Common
Safe Passage,0.20,M11,Common
Silvercoat Lion,0.20,M11,Common
Spined Wurm,0.20,M11,Common
Stabbing Pain,0.20,M11,Common
Unsummon,0.20,M11,Common
Wall of Vines,0.20,M11,Common
Armored Cancrix,0.19,M11,Common
Assassinate,0.19,M11,Common
Assault Griffin,0.19,M11,Common
Berserkers of Blood Ridge,0.19,M11,Common
Blinding Mage,0.19,M11,Common
Chandras Outrage,0.19,M11,Common
Child of Night,0.19,M11,Common
Cloud Elemental,0.19,M11,Common
Excommunicate,0.19,M11,Common
Fiery Hellhound,0.19,M11,Common
Giant Spider,0.19,M11,Common
Goblin Tunneler,0.19,M11,Common
Harbor Serpent,0.19,M11,Common
Hunters Feast,0.19,M11,Common
Incite,0.19,M11,Common
Inspired Charge,0.19,M11,Common
Lava Axe,0.19,M11,Common
Nether Horror,0.19,M11,Common
Quag Sickness,0.19,M11,Common
Siege Mastodon,0.19,M11,Common
Thunder Strike,0.19,M11,Common
Tireless Missionaries,0.19,M11,Common
Unholy Strength,0.19,M11,Common
Volcanic Strength,0.19,M11,Common
Wild Griffin,0.19,M11,Common
Yavimaya Wurm,0.19,M11,Common
Barony Vampire,0.18,M11,Common
Demolish,0.18,M11,Common
Infantry Veteran,0.18,M11,Common
Rotting Legion,0.18,M11,Common
Mighty Leap,0.17,M11,Common
Mind Rot,0.17,M11,Common
Nightwing Shade,0.17,M11,Common
Vulshok Berserker,0.17,M11,Common
Leyline of Sanctity,5.19,M11,Rare
Leyline of the Void,4.21,M11,Rare
Primeval Titan,1.15,M11,Mythic
Lightning Bolt,0.84,M11,Common
Sun Titan,0.55,M11,Mythic
Preordain,0.26,M11,Common
Grave Titan,0.22,M11,Mythic
Serra Ascendant,0.18,M11,Rare
Demon of Deaths Gate,0.17,M11,Mythic
Baneslayer Angel,0.11,M11,Mythic
Inferno Titan,0.08,M11,Mythic
Sunpetal Grove,0.08,M11,Rare
Captivating Vampire,0.05,M11,Rare
Arc Runner,0.04,M11,Common
Bloodthrone Vampire,0.04,M11,Common
Crystal Ball,0.04,M11,Uncommon
Dryads Favor,0.04,M11,Common
Elite Vanguard,0.04,M11,Uncommon
Merfolk Spy,0.04,M11,Common
Mind Control,0.04,M11,Uncommon
Naturalize,0.04,M11,Common
Negate,0.04,M11,Common
Pacifism,0.04,M11,Common
Prodigal Pyromancer,0.04,M11,Uncommon
Scroll Thief,0.04,M11,Common
Sleep,0.04,M11,Uncommon
Spined Wurm,0.04,M11,Common
Unholy Strength,0.04,M11,Common
Acidic Slime,0.03,M11,Uncommon
Act of Treason,0.03,M11,Common
Aether Adept,0.03,M11,Common
Air Servant,0.03,M11,Uncommon
Alluring Siren,0.03,M11,Uncommon
Angels Feather,0.03,M11,Uncommon
Armored Cancrix,0.03,M11,Common
Assassinate,0.03,M11,Common
Assault Griffin,0.03,M11,Common
Azure Drake,0.03,M11,Common
Barony Vampire,0.03,M11,Common
Berserkers of Blood Ridge,0.03,M11,Common
Blinding Mage,0.03,M11,Common
Blood Tithe,0.03,M11,Common
Bloodcrazed Goblin,0.03,M11,Common
Bog Raiders,0.03,M11,Common
Cancel,0.03,M11,Common
Canyon Minotaur,0.03,M11,Common
Chandras Outrage,0.03,M11,Common
Child of Night,0.03,M11,Common
Cloud Crusader,0.03,M11,Common
Cloud Elemental,0.03,M11,Common
Corrupt,0.03,M11,Uncommon
Cudgel Troll,0.03,M11,Uncommon
Deathmark,0.03,M11,Uncommon
Demolish,0.03,M11,Common
Demons Horn,0.03,M11,Uncommon
Diabolic Tutor,0.03,M11,Uncommon
Duskdale Wurm,0.03,M11,Uncommon
Earth Servant,0.03,M11,Uncommon
Excommunicate,0.03,M11,Common
Fiery Hellhound,0.03,M11,Common
Fire Servant,0.03,M11,Uncommon
Fireball,0.03,M11,Uncommon
Flashfreeze,0.03,M11,Uncommon
Fog,0.03,M11,Common
Foresee,0.03,M11,Common
Gargoyle Sentinel,0.03,M11,Uncommon
Giant Growth,0.03,M11,Common
Giant Spider,0.03,M11,Common
Goblin Piker,0.03,M11,Common
Goblin Tunneler,0.03,M11,Common
Goldenglow Moth,0.03,M11,Common
Gravedigger,0.03,M11,Common
Greater Basilisk,0.03,M11,Common
Harbor Serpent,0.03,M11,Common
Holy Strength,0.03,M11,Common
Howling Banshee,0.03,M11,Uncommon
Hunters Feast,0.03,M11,Common
Ice Cage,0.03,M11,Common
Incite,0.03,M11,Common
Infantry Veteran,0.03,M11,Common
Inspired Charge,0.03,M11,Common
Juggernaut,0.03,M11,Uncommon
Krakens Eye,0.03,M11,Uncommon
Lava Axe,0.03,M11,Common
Maritime Guard,0.03,M11,Common
Mighty Leap,0.03,M11,Common
Mind Rot,0.03,M11,Common
Nether Horror,0.03,M11,Common
Nightwing Shade,0.03,M11,Common
Palace Guard,0.03,M11,Common
Phantom Beast,0.03,M11,Common
Plummet,0.03,M11,Common
Quag Sickness,0.03,M11,Common
Rise from the Grave,0.03,M11,Uncommon
Rotting Legion,0.03,M11,Common
Sacred Wolf,0.03,M11,Common
Safe Passage,0.03,M11,Common
Serra Angel,0.03,M11,Uncommon
Siege Mastodon,0.03,M11,Common
Silvercoat Lion,0.03,M11,Common
Solemn Offering,0.03,M11,Common
Stabbing Pain,0.03,M11,Common
Stone Golem,0.03,M11,Uncommon
Stormfront Pegasus,0.03,M11,Common
Thunder Strike,0.03,M11,Common
Tireless Missionaries,0.03,M11,Common
Unsummon,0.03,M11,Common
Volcanic Strength,0.03,M11,Common
Vulshok Berserker,0.03,M11,Common
Wall of Frost,0.03,M11,Uncommon
Wall of Vines,0.03,M11,Common
Warlords Axe,0.03,M11,Uncommon
Water Servant,0.03,M11,Uncommon
Wild Griffin,0.03,M11,Common
Wurms Tooth,0.03,M11,Uncommon
Yavimaya Wurm,0.03,M11,Common
Ajanis Mantra,0.02,M11,Common
Ajanis Pridemate,0.02,M11,Uncommon
Angelic Arbiter,0.02,M11,Rare
Armored Ascension,0.02,M11,Uncommon
Augury Owl,0.02,M11,Common
Autumns Veil,0.02,M11,Uncommon
Awakener Druid,0.02,M11,Uncommon
Back to Nature,0.02,M11,Uncommon
Birds of Paradise,0.02,M11,Rare
Black Knight,0.02,M11,Uncommon
Brindle Boar,0.02,M11,Common
Call to Mind,0.02,M11,Uncommon
Celestial Purge,0.02,M11,Uncommon
Chandras Spitfire,0.02,M11,Uncommon
Combust,0.02,M11,Uncommon
Condemn,0.02,M11,Uncommon
Conundrum Sphinx,0.02,M11,Rare
Cultivate,0.02,M11,Common
Cyclops Gladiator,0.02,M11,Rare
Diminish,0.02,M11,Common
Disentomb,0.02,M11,Common
Doom Blade,0.02,M11,Common
Dragons Claw,0.02,M11,Uncommon
Dragonskull Summit,0.02,M11,Rare
Duress,0.02,M11,Common
Elixir of Immortality,0.02,M11,Uncommon
Ember Hauler,0.02,M11,Uncommon
Fling,0.02,M11,Common
Gaeas Revenge,0.02,M11,Mythic
Garruks Companion,0.02,M11,Common
Garruks Packleader,0.02,M11,Uncommon
Goblin Balloon Brigade,0.02,M11,Common
Hornet Sting,0.02,M11,Common
Jaces Erasure,0.02,M11,Common
Jaces Ingenuity,0.02,M11,Uncommon
Lilianas Caress,0.02,M11,Uncommon
Lilianas Specter,0.02,M11,Common
Llanowar Elves,0.02,M11,Common
Magma Phoenix,0.02,M11,Rare
Mana Leak,0.02,M11,Common
Manic Vandal,0.02,M11,Common
Natures Spiral,0.02,M11,Uncommon
Ornithopter,0.02,M11,Uncommon
Primal Cocoon,0.02,M11,Common
Prized Unicorn,0.02,M11,Uncommon
Pyretic Ritual,0.02,M11,Common
Pyroclasm,0.02,M11,Uncommon
Reassembling Skeleton,0.02,M11,Uncommon
Relentless Rats,0.02,M11,Uncommon
Roc Egg,0.02,M11,Uncommon
Rootbound Crag,0.02,M11,Rare
Runeclaw Bear,0.02,M11,Common
Shivs Embrace,0.02,M11,Uncommon
Sign in Blood,0.02,M11,Common
Silence,0.02,M11,Rare
Sorcerers Strongbox,0.02,M11,Uncommon
Squadron Hawk,0.02,M11,Common
Stormtide Leviathan,0.02,M11,Rare
Sylvan Ranger,0.02,M11,Common
Terramorphic Expanse,0.02,M11,Common
Tome Scour,0.02,M11,Common
Traumatize,0.02,M11,Rare
Viscera Seer,0.02,M11,Common
Voltaic Key,0.02,M11,Uncommon
War Priest of Thune,0.02,M11,Uncommon
Whispersilk Cloak,0.02,M11,Uncommon
White Knight,0.02,M11,Uncommon
Ajani Goldmane,0.01,M11,Mythic
