Name,Price,Set,Rarity
"Tabletop
 586","DECLINING CARDS
44▼","PRICE CHANGE
-0.85","RISING CARDS
23▲"
Doubling Season,80.00,RAV,Rare
Cloudstone Curio,61.00,RAV,Rare
Dark Confidant,39.07,RAV,Rare
Sacred Foundry,26.97,RAV,Rare
Watery Grave,22.24,RAV,Rare
Privileged Position,21.48,RAV,Rare
Overgrown Tomb,19.95,RAV,Rare
Temple Garden,19.49,RAV,Rare
Life from the Loam,19.41,RAV,Rare
Copy Enchantment,16.73,RAV,Rare
Birds of Paradise,14.22,RAV,Rare
Hunted Horror,13.99,RAV,Rare
Mindleech Mass,12.00,RAV,Rare
Pariahs Shield,10.82,RAV,Rare
Glimpse the Unthinkable,10.44,RAV,Rare
Chord of Calling,9.99,RAV,Rare
Hunted Phantasm,7.75,RAV,Rare
Concerted Effort,5.65,RAV,Rare
Muddle the Mixture,5.49,RAV,Common
Breath of Fury,5.22,RAV,Rare
Congregation at Dawn,5.00,RAV,Uncommon
Dimir Signet,4.36,RAV,Common
Grozoth,4.04,RAV,Rare
Savra Queen of the Golgari,3.99,RAV,Rare
Blood Funnel,3.97,RAV,Rare
Shadow of Doubt,3.56,RAV,Rare
Tunnel Vision,3.45,RAV,Rare
Loxodon Gatekeeper,3.44,RAV,Rare
Golgari Grave-Troll,3.36,RAV,Rare
Remand,3.32,RAV,Uncommon
Perilous Forays,3.24,RAV,Uncommon
Followed Footsteps,3.02,RAV,Rare
Autochthon Wurm,3.00,RAV,Rare
Mindmoil,2.77,RAV,Rare
Blazing Archon,2.52,RAV,Rare
Suppression Field,2.50,RAV,Uncommon
Three Dreams,2.36,RAV,Rare
Phytohydra,2.25,RAV,Rare
Twilight Drover,2.20,RAV,Rare
Tolsimir Wolfblood,2.17,RAV,Rare
Circu Dimir Lobotomist,2.08,RAV,Rare
Farseek,1.99,RAV,Common
Elves of Deep Shadow,1.55,RAV,Common
Helldozer,1.52,RAV,Rare
Lightning Helix,1.50,RAV,Uncommon
Nullstone Gargoyle,1.40,RAV,Rare
Eye of the Storm,1.39,RAV,Rare
Primordial Sage,1.37,RAV,Rare
Sunforger,1.35,RAV,Rare
Selesnya Signet,1.32,RAV,Common
Dimir Machinations,1.28,RAV,Uncommon
Dimir Doppelganger,1.25,RAV,Rare
Golgari Thug,1.25,RAV,Uncommon
Flickerform,1.17,RAV,Rare
Sisters of Stone Death,1.02,RAV,Rare
Hunted Troll,1.01,RAV,Rare
Bottled Cloister,1.00,RAV,Rare
Golgari Signet,1.00,RAV,Common
Perplex,1.00,RAV,Common
Drift of Phantasms,0.99,RAV,Common
Stinkweed Imp,0.93,RAV,Common
Razia Boros Archangel,0.90,RAV,Rare
Hour of Reckoning,0.89,RAV,Rare
Razias Purification,0.89,RAV,Rare
Warp World,0.75,RAV,Rare
Dimir House Guard,0.72,RAV,Common
Oathsworn Giant,0.71,RAV,Uncommon
Hunted Dragon,0.70,RAV,Rare
Necroplasm,0.70,RAV,Rare
Boros Signet,0.68,RAV,Common
Dimir Cutpurse,0.68,RAV,Rare
Moonlight Bargain,0.68,RAV,Rare
Bloodbond March,0.63,RAV,Rare
Darkblast,0.63,RAV,Uncommon
Glare of Subdual,0.62,RAV,Rare
Stoneshaker Shaman,0.62,RAV,Uncommon
Brightflame,0.60,RAV,Rare
Master Warcraft,0.60,RAV,Rare
Sunhome Fortress of the Legion,0.60,RAV,Uncommon
Szadek Lord of Secrets,0.60,RAV,Rare
Loxodon Hierarch,0.59,RAV,Rare
Voyager Staff,0.57,RAV,Uncommon
Shred Memory,0.56,RAV,Common
Gleancrawler,0.54,RAV,Rare
Dimir Infiltrator,0.50,RAV,Common
Empty the Catacombs,0.50,RAV,Rare
Light of Sanction,0.50,RAV,Rare
Nullmage Shepherd,0.50,RAV,Uncommon
Vulturous Zombie,0.50,RAV,Rare
Agrus Kos Wojek Veteran,0.49,RAV,Rare
Char,0.49,RAV,Rare
Dream Leash,0.49,RAV,Rare
Firemane Angel,0.49,RAV,Rare
Hex,0.49,RAV,Rare
Ursapine,0.49,RAV,Rare
Vinelasher Kudzu,0.49,RAV,Rare
Chorus of the Conclave,0.48,RAV,Rare
Grave-Shell Scarab,0.48,RAV,Rare
Hunted Lammasu,0.48,RAV,Rare
Spawnbroker,0.48,RAV,Rare
Woebringer Demon,0.48,RAV,Rare
Flame Fusillade,0.47,RAV,Rare
Plague Boiler,0.47,RAV,Rare
Carven Caryatid,0.45,RAV,Uncommon
Golgari Germination,0.45,RAV,Uncommon
Psychic Drain,0.45,RAV,Uncommon
Sins of the Past,0.45,RAV,Rare
Leave No Trace,0.44,RAV,Common
Woodwraith Corrupter,0.44,RAV,Rare
Searing Meditation,0.43,RAV,Rare
Ghosts of the Innocent,0.42,RAV,Rare
Molten Sentry,0.42,RAV,Rare
Scion of the Wild,0.42,RAV,Rare
Telling Time,0.42,RAV,Uncommon
Dimir Aqueduct,0.41,RAV,Common
Dizzy Spell,0.41,RAV,Common
Excruciator,0.41,RAV,Rare
Crown of Convergence,0.39,RAV,Rare
Hammerfist Giant,0.39,RAV,Rare
Netherborn Phalanx,0.39,RAV,Uncommon
Cerulean Sphinx,0.38,RAV,Rare
Bloodletter Quill,0.37,RAV,Rare
Clutch of the Undercity,0.37,RAV,Uncommon
Lore Broker,0.37,RAV,Uncommon
Duskmantle House of Shadow,0.35,RAV,Uncommon
Putrefy,0.35,RAV,Uncommon
Watchwolf,0.33,RAV,Uncommon
Selesnya Sanctuary,0.32,RAV,Common
Stone-Seeder Hierophant,0.31,RAV,Common
Brainspoil,0.30,RAV,Common
Flow of Ideas,0.30,RAV,Uncommon
Frenzied Goblin,0.30,RAV,Uncommon
Junktroller,0.30,RAV,Uncommon
Vigor Mortis,0.30,RAV,Uncommon
Wizened Snitches,0.30,RAV,Uncommon
Bathe in Light,0.29,RAV,Uncommon
Boros Garrison,0.29,RAV,Common
