Name,Price,Set,Rarity
"Tabletop
 272","DECLINING CARDS
32▼","PRICE CHANGE
0.53","RISING CARDS
27▲"
Mox Amber,45.00,DOM,Mythic
Teferi Hero of Dominaria,24.99,DOM,Mythic
Helm of the Host,18.66,DOM,Rare
Lyra Dawnbringer,11.50,DOM,Mythic
Karn Scion of Urza,8.67,DOM,Mythic
Hinterland Harbor,6.98,DOM,Rare
Muldrotha the Gravetide,6.90,DOM,Mythic
Clifftop Retreat,6.49,DOM,Rare
Isolated Chapel,5.38,DOM,Rare
Woodland Cemetery,5.23,DOM,Rare
Shalai Voice of Plenty,5.01,DOM,Rare
Cabal Stronghold,4.99,DOM,Rare
Gilded Lotus,4.56,DOM,Rare
Sulfur Falls,4.48,DOM,Rare
Phyrexian Scriptures,3.84,DOM,Mythic
Rat Colony,2.89,DOM,Common
Tatyova Benthic Druid,2.71,DOM,Uncommon
Jhoira Weatherlight Captain,2.62,DOM,Mythic
Karns Temporal Sundering,2.41,DOM,Rare
Tetsuko Umezawa Fugitive,2.26,DOM,Uncommon
Demonlord Belzenlok,1.75,DOM,Mythic
Primevals Glorious Rebirth,1.73,DOM,Rare
Multani Yavimayas Avatar,1.70,DOM,Mythic
Damping Sphere,1.66,DOM,Uncommon
Urzas Ruinous Blast,1.64,DOM,Rare
History of Benalia,1.58,DOM,Mythic
Weatherlight,1.56,DOM,Mythic
Steel Leaf Champion,1.53,DOM,Rare
Naru Meha Master Wizard,1.46,DOM,Mythic
Verix Bladewing,1.32,DOM,Mythic
Darigaaz Reincarnated,1.31,DOM,Mythic
Oath of Teferi,1.29,DOM,Rare
Final Parting,1.28,DOM,Uncommon
Squee the Immortal,1.23,DOM,Rare
Marwyn the Nurturer,1.19,DOM,Rare
Jaya Ballard,1.13,DOM,Mythic
Blackblade Reforged,1.08,DOM,Rare
Sylvan Awakening,1.07,DOM,Rare
Jodah Archmage Eternal,1.04,DOM,Rare
Siege-Gang Commander,1.00,DOM,Rare
Josu Vess Lich Knight,0.99,DOM,Rare
Kamahls Druidic Vow,0.99,DOM,Rare
Thran Temporal Gateway,0.99,DOM,Rare
Merfolk Trickster,0.95,DOM,Uncommon
Grand Warlord Radha,0.85,DOM,Rare
Song of Freyalise,0.85,DOM,Uncommon
Goblin Chainwhirler,0.81,DOM,Rare
Benalish Marshal,0.75,DOM,Rare
Traxos Scourge of Kroog,0.69,DOM,Rare
Forebears Blade,0.62,DOM,Rare
Teshar Ancestors Apostle,0.62,DOM,Rare
Goblin Warchief,0.60,DOM,Uncommon
Tempest Djinn,0.59,DOM,Rare
Yawgmoths Vile Offering,0.56,DOM,Rare
Naban Dean of Iteration,0.53,DOM,Rare
The Antiquities War,0.52,DOM,Rare
Jhoiras Familiar,0.51,DOM,Uncommon
Aryel Knight of Windgrace,0.50,DOM,Rare
Danitha Capashen Paragon,0.50,DOM,Uncommon
Territorial Allosaurus,0.50,DOM,Rare
Unwind,0.50,DOM,Common
Verdant Force,0.50,DOM,Rare
Baird Steward of Argive,0.49,DOM,Uncommon
Fall of the Thran,0.49,DOM,Rare
Jayas Immolating Inferno,0.49,DOM,Rare
Lichs Mastery,0.49,DOM,Rare
Precognition Field,0.49,DOM,Rare
The Mending of Dominaria,0.49,DOM,Rare
The Mirari Conjecture,0.49,DOM,Rare
Torgaar Famine Incarnate,0.47,DOM,Rare
Dread Shade,0.45,DOM,Rare
Grow from the Ashes,0.45,DOM,Common
The Eldest Reborn,0.45,DOM,Uncommon
Mishras Self-Replicator,0.44,DOM,Rare
Niambi Faithful Healer,0.42,DOM,Rare
Cast Down,0.41,DOM,Uncommon
Rite of Belzenlok,0.41,DOM,Rare
Chandras Outburst,0.40,DOM,Rare
Whisper Blood Liturgist,0.40,DOM,Uncommon
Wizards Retort,0.40,DOM,Uncommon
Broken Bond,0.39,DOM,Common
Gaeas Blessing,0.39,DOM,Uncommon
Two-Headed Giant,0.39,DOM,Rare
Evra Halcyon Witness,0.38,DOM,Rare
Curators Ward,0.37,DOM,Uncommon
Kazarov Sengir Pureblood,0.35,DOM,Rare
Sporecrown Thallid,0.35,DOM,Uncommon
The First Eruption,0.34,DOM,Rare
Zhalfirin Void,0.34,DOM,Uncommon
Haphazard Bombardment,0.33,DOM,Rare
Llanowar Elves,0.33,DOM,Common
Daring Archaeologist,0.32,DOM,Rare
Dauntless Bodyguard,0.32,DOM,Uncommon
Slimefoot the Stowaway,0.32,DOM,Uncommon
Zahid Djinn of the Lamp,0.32,DOM,Rare
Adeliz the Cinder Wind,0.30,DOM,Uncommon
Arvad the Cursed,0.30,DOM,Uncommon
Fungal Plots,0.30,DOM,Uncommon
Knight of Malice,0.30,DOM,Uncommon
Seal Away,0.30,DOM,Uncommon
Shanna Sisays Legacy,0.30,DOM,Uncommon
Skirk Prospector,0.30,DOM,Common
Spore Swarm,0.30,DOM,Uncommon
Wizards Lightning,0.30,DOM,Uncommon
Raff Capashen Ships Mage,0.29,DOM,Uncommon
Amaranthine Wall,0.28,DOM,Uncommon
Knight of Grace,0.28,DOM,Uncommon
The Flame of Keld,0.28,DOM,Uncommon
Valduk Keeper of the Flame,0.28,DOM,Uncommon
Llanowar Scout,0.27,DOM,Common
Settle the Score,0.26,DOM,Uncommon
Artificers Assistant,0.25,DOM,Common
Blink of an Eye,0.25,DOM,Common
Board the Weatherlight,0.25,DOM,Uncommon
Chainers Torment,0.25,DOM,Uncommon
Champion of the Flame,0.25,DOM,Uncommon
Diligent Excavator,0.25,DOM,Uncommon
Elfhame Druid,0.25,DOM,Uncommon
Fight with Fire,0.25,DOM,Uncommon
Firefist Adept,0.25,DOM,Uncommon
Forest269,0.25,DOM,Basic Land
Garna the Bloodflame,0.25,DOM,Uncommon
Ghitu Lavarunner,0.25,DOM,Common
Goblin Barrage,0.25,DOM,Uncommon
Grunn the Lonely King,0.25,DOM,Uncommon
Hallar the Firefletcher,0.25,DOM,Uncommon
Howling Golem,0.25,DOM,Uncommon
Icy Manipulator,0.25,DOM,Uncommon
In Bolass Clutches,0.25,DOM,Uncommon
Karplusan Hound,0.25,DOM,Uncommon
Kwende Pride of Femeref,0.25,DOM,Uncommon
Lingering Phantom,0.25,DOM,Uncommon
Meandering River,0.25,DOM,Common
Memorial to Folly,0.25,DOM,Uncommon
