#,Card,Set,Rarity,Value,Total,,
3,Stoneforge Mystic,WWK,Rare,$48.97,$146.91,,
2,Breeding Pool,RNA,Rare,$21.31,$42.62,,
4,Aether Vial,IMA,Rare,$30.54,$122.16,,
4,Flooded Strand,KTK,Rare,$41.60,$166.40,,
2,Crucible of Worlds,M19,Mythic,$41.17,$82.34,,
1,Nyxbloom Ancient,THB,Mythic,$19.30,$19.30,,
5,Blood Crypt,RNA,Rare,$18.25,$91.25,,
1,Smothering Tithe,RNA,Rare,$44.79,$44.79,,
1,Sacred Foundry,GTC,Rare,$20.71,$20.71,,
1,Darksteel Plate,DDU,Rare,$15.39,$15.39,,
4,Sacred Foundry,GRN,Rare,$20.96,$83.84,,
1,Overgrown Tomb,GRN,Rare,$13.84,$13.84,,
1,"Muldrotha, the Gravetide",DOM,Mythic,$6.90,$6.90,,
1,Steam Vents,GRN,Rare,$16.06,$16.06,,
1,Dire Undercurrents,SHM,Rare,$12.63,$12.63,,
2,Temple Garden,GRN,Rare,$10.55,$21.10,,
1,Life from the Loam,UMA,Rare,$15.44,$15.44,,
1,Panharmonicon,KLD,Rare,$8.99,$8.99,,
1,Watery Grave,GRN,Rare,$14.00,$14.00,,
1,Helm of the Host,DOM,Rare,$18.66,$18.66,,
1,Thousand-Year Storm,GRN,Mythic,$11.30,$11.30,,
5,Godless Shrine,RNA,Rare,$13.54,$67.70,,
1,Dryad of the Ilysian Grove,THB,Rare,$17.09,$17.09,,
5,Hallowed Fountain,RNA,Rare,$9.96,$49.80,,
4,Manamorphose,SHM,Common,$4.87,$19.48,,
2,Meddling Mage,ARB,Rare,$2.26,$4.52,,
2,Stomping Ground,RNA,Rare,$10.40,$20.80,,
2,Hinterland Harbor,DOM,Rare,$6.98,$13.96,,
1,Chromatic Lantern,GRN,Rare,$10.44,$10.44,,
1,Underrealm Lich,GRN,Mythic,$5.43,$5.43,,
1,"Venser, Shaper Savant",MM3,Rare,$3.26,$3.26,,
1,Oblivion Stone,MRD,Rare,$4.99,$4.99,,
1,"Jace, Wielder of Mysteries",WAR,Rare,$7.19,$7.19,,
2,Narset's Reversal,WAR,Rare,$6.01,$12.02,,
3,Phantasmal Image,MM3,Rare,$4.00,$12.00,,
1,"Ashiok, Nightmare Muse",THB,Mythic,$4.11,$4.11,,
4,"Thalia, Guardian of Thraben",DKA,Rare,$4.49,$17.96,,
1,Deadeye Navigator,MM3,Rare,$9.50,$9.50,,
1,Spark Double,WAR,Rare,$9.57,$9.57,,
1,Drowned Catacomb,XLN,Rare,$7.49,$7.49,,
3,Auriok Champion,IMA,Rare,$17.38,$52.14,,
4,Clifftop Retreat,DOM,Rare,$6.49,$25.96,,
5,Path to Exile,CON,Uncommon,$4.99,$24.95,,
1,"Baral, Chief of Compliance",AER,Rare,$5.17,$5.17,,
1,Thassa's Oracle,THB,Rare,$11.00,$11.00,,
4,Giver of Runes,MH1,Rare,$6.27,$25.08,,
2,"Shalai, Voice of Plenty",DOM,Rare,$5.01,$10.02,,
1,Rest in Peace,RTR,Rare,$6.66,$6.66,,
1,Noxious Gearhulk,KLD,Mythic,$1.99,$1.99,,
1,Gilded Lotus,M13,Rare,$5.13,$5.13,,
4,Isolated Chapel,DOM,Rare,$5.38,$21.52,,
1,Solemn Simulacrum (219),CM2,Rare,#N/A,#N/A,,
1,"Vraska, Golgari Queen",GRN,Mythic,$4.28,$4.28,,
1,Nyx Lotus,THB,Rare,$4.11,$4.11,,
2,Woodland Cemetery,DOM,Rare,$5.23,$10.46,,
1,Gilded Lotus,DOM,Rare,$4.56,$4.56,,
1,"Jhoira, Weatherlight Captain",DOM,Mythic,$2.62,$2.62,,
1,Expedition Map,ZEN,Common,$2.10,$2.10,,
1,Sulfur Falls,DOM,Rare,$4.48,$4.48,,
1,"Ajani, Adversary of Tyrants",M19,Mythic,$4.03,$4.03,,
1,Altar of Dementia,MH1,Rare,$8.79,$8.79,,
1,World Shaper,RIX,Rare,$4.56,$4.56,,
2,Boros Charm,GTC,Uncommon,$2.30,$4.60,,
1,"Sai, Master Thopterist",M19,Rare,$3.19,$3.19,,
1,"Xantcha, Sleeper Agent",C18,Rare,$14.68,$14.68,,
4,Stitcher's Supplier,M19,Uncommon,$3.19,$12.76,,
1,Settle the Wreckage,XLN,Rare,$3.00,$3.00,,
1,"Niv-Mizzet, Parun",GRN,Rare,$3.40,$3.40,,
5,Dragonskull Summit,XLN,Rare,$4.47,$22.35,,
1,Expansion // Explosion,GRN,Rare,$1.99,$1.99,,
1,Merciless Eviction,GTC,Rare,$2.50,$2.50,,
1,Windgrace's Judgment,C18,Rare,$2.70,$2.70,,
3,"Erebos, Bleak-Hearted",THB,Mythic,$2.14,$6.42,,
1,"Calix, Destiny's Hand",THB,Mythic,$3.64,$3.64,,
1,Underworld Breach,THB,Rare,$5.82,$5.82,,
1,History of Benalia,DOM,Mythic,$1.58,$1.58,,
1,Bolas's Citadel,WAR,Rare,$6.91,$6.91,,
1,Reliquary Tower,M19,Uncommon,$3.75,$3.75,,
2,Bedevil,RNA,Rare,$2.12,$4.24,,
1,Greed,7E,Rare,$1.40,$1.40,,
2,"Thalia, Heretic Cathar",EMN,Rare,$4.50,$9.00,,
2,"Polukranos, Unchained",THB,Mythic,$1.64,$3.28,,
2,Stony Silence,ISD,Rare,$4.64,$9.28,,
1,Grafdigger's Cage,DKA,Rare,$2.40,$2.40,,
1,Ponder,C18,Common,$3.04,$3.04,,
